Contrat	Code_entite	Annee_de_souscription	Annee_bilan	Code_segment	IBNR_Sub_Segment	Type_Affaire	Devise	Commute	Paid	OS	Attri_ML	incurred	Devlopement
	VR	1988	2014	2M2		R	EUR	N	3854,98	-4490,63	Attri	1	324
	VR	1988	2015	2M2		R	EUR	N	3769,65	-9007,77	Attri	1	336
	VR	1989	2014	2M2		R	EUR	N	-109,09	0	Attri	1	312
	VR	1989	2015	2M2		R	EUR	N	-127,69	0	Attri	1	324
	VR	1990	2014	2M2		R	EUR	N	4968,66	-3060,96	Attri	1	300
	VR	1990	2015	2M2		R	EUR	N	7104,51	-6362,04	Attri	1	312
	VR	1991	2014	2M2		R	EUR	N	14382,71	-12792,66	Attri	1	288
	VR	1991	2015	2M2		R	EUR	N	10834,99	-21343,67	Attri	1	300
	VR	1992	2014	2M2		R	EUR	N	4912,35	4987,25	Attri	1	276
	VR	1992	2015	2M2		R	EUR	N	4207,86	99,2	Attri	1	288
	VR	1993	2014	2M2		R	EUR	N	3269,75	-3751,36	Attri	1	264
	VR	1993	2015	2M2		R	EUR	N	2929,52	-7225,32	Attri	1	276
	VR	1994	2014	2M2		R	EUR	N	18420,14	-14341,24	Attri	1	252
	VR	1994	2015	2M2		R	EUR	N	20005,63	-17731,71	Attri	1	264
	VR	1995	2014	2M2		R	EUR	N	-24,96	-1028,11	Attri	1	240
	VR	1995	2015	2M2		R	EUR	N	-29,05	-2222,1	Attri	1	252
	VR	1996	2014	2M2		R	EUR	N	7781,56	-22951,2	Attri	1	228
	VR	1996	2015	2M2		R	EUR	N	4512,64	-26705,37	Attri	1	240
	VR	1997	2014	2M2		R	EUR	N	1010,97	-20279,03	Attri	1	216
	VR	1997	2015	2EN1		R	USD	N	0	-1045,35	Attri	1	228
	VR	1997	2015	2M2		R	EUR	N	640,58	-15813,67	Attri	1	228
	VR	1998	2014	2M2		R	EUR	N	8512,7	-9206,76	Attri	1	204
	VR	1998	2015	2M2		R	EUR	N	10399,29	-22666,78	Attri	1	216
1027290	VR	2002	2004	2P1	All	A	EUR	N	72555,87	0	Attri	1	36
1027292	VR	1999	2004	2P1	All	A	EUR	N	-141,33	0	Attri	1	72
1027292	VR	2000	2004	2P1	All	A	EUR	N	1777,28	0	Attri	1	60
1027292	VR	2001	2006	2P1	All	A	EUR	N	10958,15	0	Attri	1	72
1027292	VR	2003	2004	2P1	All	A	EUR	N	1211,8	0	Attri	1	24
1027321	VR	2002	2004	2PM2	All	A	EUR	N	1277,5	0	Attri	1	36
1086656	VR	2002	2004	2M2	Germany	A	EUR	N	13912,99	0	Attri	1	36
1086656	VR	2002	2005	2M2	Germany	A	EUR	N	2417	0	Attri	1	48
1087395	VR	2002	2004	2PM2	All	A	EUR	N	0	9349,92	Attri	1	36
1087396	VR	2002	2004	2PM2	All	A	EUR	N	0	2089,8	Attri	1	36
1087398	VR	1994	2004	2P2	All	A	EUR	N	1278,74	216,32	Attri	1	132
1087398	VR	2002	2004	2P2	All	A	EUR	N	678,06	5010	Attri	1	36
1087398	VR	2002	2005	2P2	All	A	EUR	N	2150,98	0	Attri	1	48
1087399	VR	1998	2007	2P2	All	A	EUR	N	0	63607,5	Attri	1	120
1087399	VR	1998	2008	2P2	All	A	EUR	N	0	63607,5	Attri	1	132
1087399	VR	1998	2009	2P2	All	A	EUR	N	0	63607,49	Attri	1	144
1087399	VR	1998	2010	2P2	All	A	EUR	N	0	63607,49	Attri	1	156
1087399	VR	1998	2011	2P2	All	A	EUR	N	0	63607,49	Attri	1	168
1087399	VR	1998	2012	2P2	All	A	EUR	N	0	59119,5	Attri	1	180
1087399	VR	1998	2013	2P2	All	A	EUR	N	0	59119,5	Attri	1	192
1087399	VR	1998	2014	2P2	All	A	EUR	N	0	59119,5	Attri	1	204
1087399	VR	1998	2015	2P2	All	A	EUR	N	0	59119,5	Attri	1	216
1087399	VR	1999	2009	2P2	All	A	EUR	N	-106714,31	0	Attri	1	132
1087399	VR	2000	2004	2P2	All	A	EUR	N	11247,47	0	Attri	1	60
1087399	VR	2000	2005	2P2	All	A	EUR	N	16748,42	0	Attri	1	72
1087399	VR	2000	2007	2P2	All	A	EUR	N	159,08	3217,81	Attri	1	96
1087399	VR	2000	2008	2P2	All	A	EUR	N	-26297,82	29317,55	Attri	1	108
1087399	VR	2000	2009	2P2	All	A	EUR	N	3178,16	26180,35	Attri	1	120
1087399	VR	2002	2005	2P2	All	A	EUR	N	-16306	0	Attri	1	48
1087400	VR	2002	2004	2PM2	All	A	EUR	N	0	8707,5	Attri	1	36
1087401	VR	2002	2004	2PM2	All	A	EUR	N	0	8010,9	Attri	1	36
1087402	VR	2002	2004	2PM2	All	A	EUR	N	0	3831,3	Attri	1	36
1087403	VR	1994	2005	2P2	All	A	EUR	N	15	0	Attri	1	144
1087403	VR	1994	2007	2P2	All	A	EUR	N	20,53	159,29	Attri	1	168
1087403	VR	1994	2008	2P2	All	A	EUR	N	0	159,29	Attri	1	180
1087403	VR	1994	2009	2P2	All	A	EUR	N	0	159,29	Attri	1	192
1087403	VR	1994	2010	2P2	All	A	EUR	N	0	159,29	Attri	1	204
1087403	VR	1994	2011	2P2	All	A	EUR	N	124,34	197,37	Attri	1	216
1087403	VR	1994	2012	2P2	All	A	EUR	N	29,5	167,87	Attri	1	228
1087403	VR	1994	2013	2P2	All	A	EUR	N	10,52	157,85	Attri	1	240
1087403	VR	1994	2014	2P2	All	A	EUR	N	26	132	Attri	1	252
1087403	VR	1994	2015	2P2	All	A	EUR	N	0	132	Attri	1	264
1087404	VR	1999	2005	2P2	All	A	EUR	N	1390,57	0	Attri	1	84
1087404	VR	1999	2007	2P2	All	A	EUR	N	339,48	1489,88	Attri	1	108
1087404	VR	1999	2008	2P2	All	A	EUR	N	153,1	1370,3	Attri	1	120
1087404	VR	1999	2009	2P2	All	A	EUR	N	-66805,28	0	Attri	1	132
1087405	VR	2002	2004	2PM2	All	A	EUR	N	0	9055,8	Attri	1	36
1087406	VR	2002	2004	2PM2	All	A	EUR	N	0	3993,84	Attri	1	36
1087407	VR	2002	2004	2PM2	All	A	EUR	N	0	1901,72	Attri	1	36
1087408	VR	1999	2004	2PM2	All	A	EUR	N	4606,56	0	Attri	1	72
1087409	VR	2002	2004	2P2	All	A	EUR	N	0	1780,2	Attri	1	36
1087410	VR	2002	2004	2P2	All	A	EUR	N	0	13932	Attri	1	36
1087411	VR	2002	2004	2PM2	All	A	EUR	N	0	3773,24	Attri	1	36
1087412	VR	2002	2004	2P2	All	A	EUR	N	0	1548	Attri	1	36
1087413	VR	2002	2004	2P2	All	A	EUR	N	0	1486,08	Attri	1	36
1087414	VR	2001	2004	2P2	All	A	EUR	N	0	39129,45	Attri	1	48
1087414	VR	2002	2004	2P2	All	A	EUR	N	0	30186	Attri	1	36
1087422	VR	1996	2004	2EN1	All	A	EUR	N	4	2409	Attri	1	108
1087422	VR	1996	2005	2EN1	All	A	EUR	N	2236,5	0	Attri	1	120
